"Centroid Data for pc board: ""drivebay pm.brd"" as of: 8/4/2011 6:23:17 PM",,,,
Measurements are in inches. Comma delimited,,,,
Only surface mount components included,,,,
,,,,
RefDes,Layer,LocationX,LocationY,Rotation
C201,Top,0.67,3.67,90
C202,Top,0.71,3.56,180
C203,Top,1.02,3.32,180
C204,Top,0.88,3.32,0
C205,Top,1.34,3.47,90
C206,Top,1.26,3.47,90
J101,Top,0.19,2.84,270
J102,Bottom,0.19,2.84,90
J103,Top,0.19,1.96,270
J104,Bottom,0.19,1.96,90
J105,Top,0.19,0.78,270
J106,Bottom,0.19,0.78,90
J201,Top,0.16,3.56,0
L201,Top,0.75,3.67,270
R201,Top,1.94,3.57,0
R202,Top,1.94,3.64,0
R301,Top,1.3,2.25,0
R303,Top,2.07,2.57,180
R304,Top,2.07,2.52,0
R305,Top,2.07,2.42,180
R306,Top,2.07,2.47,0
R307,Bottom,1.3,2,0
R309,Bottom,2.07,2.17,0
R310,Bottom,2.07,2.22,180
R311,Bottom,2.07,2.33,0
R312,Bottom,2.07,2.28,180
R313,Top,1.3,1.75,0
R315,Top,2.07,2.08,180
R316,Top,2.07,2.03,0
R317,Top,2.07,1.92,180
R318,Top,2.07,1.97,0
R319,Top,1.3,1.25,0
R321,Top,2.07,1.58,180
R322,Top,2.07,1.53,0
R323,Top,2.07,1.43,180
R324,Top,2.07,1.48,0
R401,Bottom,1.3,1,0
R403,Bottom,2.07,1.17,0
R404,Bottom,2.07,1.22,180
R405,Bottom,2.07,1.33,0
R406,Bottom,2.07,1.28,180
R407,Top,1.3,0.75,0
R409,Top,2.07,1.09,180
R410,Top,2.07,1.04,0
R411,Top,2.07,0.93,180
R412,Top,2.07,0.98,0
R413,Bottom,1.3,0.5,0
R415,Bottom,2.07,0.67,0
R416,Bottom,2.07,0.72,180
R417,Bottom,2.07,0.83,0
R418,Bottom,2.07,0.78,180
R419,Top,1.3,0.25,0
R421,Top,2.07,0.59,180
R422,Top,2.07,0.54,0
R423,Top,2.07,0.43,180
R424,Top,2.07,0.48,0
U201,Top,1.01,3.56,180
U202,Top,1.62,3.4,0
U301,Top,1.33,2.5,0
U302,Bottom,1.27,2.25,0
U303,Top,1.33,2,0
U304,Top,1.33,1.5,0
U401,Bottom,1.27,1.25,0
U402,Top,1.33,1,0
U403,Bottom,1.27,0.75,0
U404,Top,1.33,0.5,0
X201,Top,1.3,3.2,270
